Building Id,Cogent Market,Ranking,Address,Building/Node Name,City,State,Zip Code,On Net Date,On Net Status,Site Type
47393-0,Riga,1,Perses iela 2,Perses 2 -Versija,Riga,0,LV-1011,9/10/14,Lit,Carrier Neutral Data Center
4747-1,Los Angeles,1,"600 W 7th Street, 6th Floor",COI Pop - LAX05 - Equinix,Los Angeles,CA,90017,12/13/01,Lit,Carrier Neutral Data Center
4747-3,Los Angeles,1,"600 W 7th Street, Suite 550",TelX Building MMR,Los Angeles,CA,90017,8/30/07,Lit,Carrier Neutral Data Center
4757-1,Los Angeles,1,4676 Admiralty Way,COI Pop - LAX08 - USC/ISI,Marina Del Rey,CA,90292,9/25/09,Lit,Carrier Neutral Data Center
4757-2,Los Angeles,1,4676 Admiralty Way,USC/ISI Colo 2 MMR,Marina Del Rey,CA,90292,11/11/09,Lit,Carrier Neutral Data Center
47839-0,Amsterdam,1,Haarlemmerstraatweg 133-135,Cogent Data Center- Halfw,Halfweg,NL,1165 MK,6/18/14,Lit,Cogent Data Center
48138-0,Santa Clara,1,2950 Stender Way,2950 Stender Way,Santa Clara,CA,95054,3/13/14,Lit,Carrier Neutral Data Center
48163-0,Stamford,1,6 Norden Place,Cervalis Data Center,Norwalk,CT,6855,9/30/14,Lit,Carrier Neutral Data Center
48530-0,Manchester,1,4 Blackmore Road,UKFAST-MANOC5,Trafford Park-Manchester,UK,M32 OQY,12/22/14,Lit,Carrier Neutral Data Center
48531-0,Manchester,1,6 Blackmore Road,UKFAST-MANOC 6,Trafford Park-Manchester,UK,M32 0QY,12/22/14,Lit,Carrier Neutral Data Center
48532-0,Manchester,1,8 Blackmore road,UKFAST-MANOC 7,Trafford Park-Manchester,UK,M32 0QY,12/22/14,Lit,Carrier Neutral Data Center
48634-0,Dallas,1,6431 Longhorn Dr,QTS Datacenter,Irving,TX,75063,3/30/15,Lit,Carrier Neutral Data Center
48676-0,Bilbao,1,"Poligono Artunduaga Parcela 21 / 4897 Basauri, Biz",COI Hub - BIO02 - BILBAO Interoute,Bilbao,ES,0,8/28/14,Lit,Carrier Neutral Data Center
49936-1,Vancouver,1,1050 West Pender Street,Cologix - VAN2,Vancouver,BC,V6E 3S7,3/31/15,Lit,Carrier Neutral Data Center
49952-0,"Washington, DC",1,12098 Sunrise Valley Dr,CoreSite VA2,Reston,VA,20191,2/28/15,Lit,Carrier Neutral Data Center
