peering DB id,PP Count,IX Count,Inflect IDs,Data Center Owner,Marketing Name,name,DC Code,address1,address2,campus,notes,city,zipcode,state,country,npanxx,peeringDB owner_id,clli,Future Planned DC,rencode,Retired DC,Not Found,Data Source URL
,,,,Comcast ,,,,200 Galleria Officentre,,,,Southfield,48034,MI,USA,,,,,,,,
,,,,Comcast ,,,,"21691 Filigree Court, Bldg E",,,,Ashburn,20147,VA,USA,,,,,,,,
,,,,Comcast ,,,,1825 Savercool,,,,Bethlehem,,PA,USA,,,,,,,,
,,,,Comcast ,,,,2001 Fortune Drive,,,,San Jose,95131,CA,USA,,,,,,,,
,,,,Comcast ,,,,9110 Commerce Center Circle,,,,Highlands Ranch,80129,CO,USA,,,,,,,,
,,,,Comcast ,,,,1101 SE Tech Center Dr. Suite 150,,,,Vancouver,98683,WA,USA,,,,,,,,
,,,,Comcast ,,,,4450 Dean Lakes Blvd,,,,Shakopee,55379,MN,USA,,,,,,,,
,,,,Comcast ,,,,7145 Boone Ave. N Suite 140,,,,Brooklyn Park,55428,MN,USA,,,,,,,,
,,,,Comcast ,,,,12655 Edison Drive,,,,Alpharetta,,GA,USA,,,,,,,,
,,,,Comcast ,,,,1000 Commerce Drive,,,,Oak Brook,60523,IL,USA,,,,,,,,
,,,,Comcast ,,,,1441 Touhy Avenue,,,,Elk Grove Village,60007,IL,USA,,,,,,,,
,,,,Comcast ,,,,215 W. Ohio St. 5th Floor,,,,Chicago,60564,IL,USA,,,,,,,,
,,,,Comcast ,,,,301 West Bay Street,,,,Jacksonville,,FL,USA,,,,,,,,
,,,,Comcast ,,,,49 NW 5th Street,,,,Miami,33128,FL,USA,,,,,,,,
,,,,Comcast ,,,,8324 Baymeadows Way,,,,Jacksonville,,FL,USA,,,,,,,,
,,,,Comcast ,,,,1175 N Main St,,,,Harrisonburg,22802,VA,USA,,,,,,,,
,,,,Comcast ,,,,8209 Valleypipe (Valley Pike),,,,Middletown,,VA,USA,,,,,,,,
,,,,Comcast ,,,,9680 Atlee Commons Dr,,,,Ashland,23005,VA,USA,,,,,,,,
,,,,Comcast ,,,,636 Pierce St,,,,Somerset,8873,NJ,USA,,,,,,,,
,,,,Comcast ,,,,"Harborside Financial Center, 3 2nd St.",,,,Jersey City,7302,NJ,USA,,,,,,,,
,,,,Comcast ,,,,650 Smithfield Road,,,,Pittsburgh,15222,PA,USA,,,,,,,,
,,,,Comcast ,,,,14926 Pony Express Dr.,,,,Bluffdale,84065,UT,USA,,,,,,,,
,,,,Comcast ,,,,851 Coho Way Suite 206,,,,Bellingham,98225,WA,USA,,,,,,,,
,,,,Comcast ,,,,1708 West Creek Lane,,,,Chaska,55318,MN,USA,,,,,,,,
,,,,Comcast ,,,,250 Locke Drive,,,,Marlborough,1752,MA,USA,,,,,,,,
,,,,Comcast ,,,,50 Madison Road,,,,Totowa,7512,NJ,USA,,,,,,,,
,,,,Comcast ,,,,1255 Euclid Ave.,,,,Cleveland,44103,OH,USA,,,,,,,,
,,,,Comcast ,,,,1360 Kifer Rd.,,,,Sunnyvale,94086,CA,USA,,,,,,,,
,,,,Comcast ,,,,660 Greens Parkway,,,,Houston,77067,TX,USA,,,,,,,,
,,,,Comcast ,,,,400 SW 6th Avenue,Suite 500?,,,Portland,97214,OR,USA,,,,,,,,
,,,,Comcast ,,,,920 East Oak Street,#4,,,Lake in the Hills,60156,IL,USA,,,,,,,,
,,,,Comcast ,,,,1 Evertrust Plaza,,,,Jersey City,7302,NJ,USA,,,,,,,,
,,,,Comcast ,,,,865 Ridge Road,,,,Monmouth Junction,8852,NJ,USA,,,,,,,,
,,,,Comcast ,,,,1 Technology Park,,,,Harrisburg,17110,PA,USA,,,,,,,,
,,,,Comcast ,,,,8 Research Parkway,,,,Wallingford,6450,CT,USA,,,,,,,,
,,,,Comcast ,,,,401 Bielenberg Drive,,,,Woodbury,55125,MN,USA,,,,,,,,
,,,,Comcast ,,,,9333 Grand Ave (9355),,,,Franklin Park,60131,IL,USA,,,,,,,,
,,,,Comcast ,,,,950 East Oak Street,,,,Lake in the Hills,60156,IL,USA,,,,,,,,
,,,,Comcast ,,,,20441 Century Boulevard,,,,Germantown,,MD,USA,,,,,,,,
,,,,Comcast ,,,,50 Innerbelt Road,,,,Somerville,2143,MA,USA,,,,,,,,
,,,,Comcast ,,,,100 Bigelow Street,,,,Holyoke,1040,MA,USA,,,,,,,,
,,,,Comcast ,,,,2805 Lafayette Street,,,,Santa Clara,95054,CA,USA,,,,,,,,
,,,,Comcast ,,,,21111 Ridgetop Circle,,,,Sterling,20166,VA,USA,,,,,,,,
,,,,Comcast ,,,,"200B Meadowlands Pkwy, Secaucus NJ 07094",,,,Secaucus,7094,NJ,USA,,,,,,,,
,,,,Comcast ,,,,3949 Schelden Circle,,,,Bethlehem,18017,PA,USA,,,,,,,,
,,,,Comcast ,,,,20435 72nd Ave S. Suite 150,,,,Kent,98032,WA,USA,,,,,,,,
,,,,Comcast ,,,,1003 Donnelly Avenue SW,,,,Atlanta,30310,GA,USA,,,,,,,,
,,,,Comcast ,,,,1841 Air Lane Drive,,,,Nashville,37210,TN,USA,,,,,,,,
,,,,Comcast ,,,,2132 NW 114th Avenue,,,,Miami,33172,FL,USA,,,,,,,,
,,,,Comcast ,,,,3500 NW Boca Raton Blvd.,,,,Boca Raton,33431,FL,USA,,,,,,,,
,,,,Comcast ,,,,6602 Executive Park Court N,,,,Jacksonville,32216,FL,USA,,,,,,,,
,,,,Comcast ,,,,2703 Ena Drive,,,,Lansing,48917,MI,USA,,,,,,,,
,,,,Comcast ,,,,1450 E Parham Road,,,,Richmond,23228,VA,USA,,,,,,,,
,,,,Comcast ,,,,22 Linnell Circle,,,,Billerica,,MA,USA,,,,,,,,
,,,,Comcast ,,,,3003 Woodbridge Avenue,,,,Edison,8837,NJ,USA,,,,,,,,
,,,,Comcast ,,,,2202 Liberty Ave.,,,,Pittsburgh,15222,PA,USA,,,,,,,,
,,,,Comcast ,,,,2972 Stender Way,,,,Santa Clara,95054,CA,USA,,,,,,,,
,,,,Comcast ,,,,"23245 NW Evergreen Parkway, Building C",,,,Hillsboro,97124,OR,USA,,,,,,,,
,,,,Comcast ,,,,10 S Post Street,,,,Spokane,99201,WA,USA,,,,,,,,
,,,,Comcast ,,,,3101 Western Ave.,,,,Seattle,98121,WA,USA,,,,,,,,
