peering DB id,PP Count,IX Count,Inflect IDs,Data Center Owner,Marketing Name,name,DC Code,address1,address2,campus,notes,city,zipcode,state,country,npanxx,peeringDB owner_id,clli,Future Planned DC,rencode,Retired DC,Not Found,Data Source URL,Colo Provider,Colo provider DC code,Optical Transport,IP and EtherCloud,Video
,,,,GTT,,,,Kleyerstrasse 26,,,,Frankfurt,60326,,Germany,,,,,,,,,,,,,x
,,,,GTT,,,,Kleyerstrasse 88,,,,Frankfurt,60326,,Germany,,,,,,,,,Ancotel,,,x,
,,,,GTT,,,,Kleyerstrasse 90,,,,Frankfurt,60326,,Germany,,,,,,,,,Equinix,FR5,x,ICB*,x
,,,,GTT,,,,Rebstí_cker Str. 55,,,,Frankfurt,60326,,Germany,,,,,,,,,TSIC PoP 1,,,,x
,,,,GTT,,,,Lí_rchenstrasse 110,,,,Frankfurt,65933,,Germany,,,,,,,,,Equinix,FR4,x, ,
,,,,GTT,,,,Lyonerstrasse 28,,,,Frankfurt,D 60528,,Germany,,,,,,,,,Telecity,,,x,
,,,,GTT,,,,Taubenstrasse 7-9,,,,Frankfurt,60313,,Germany,,,,,,,,,Equinix,FR1,,x,
,,,,GTT,,,,Langenhorner Chaussee 44,,,,Hamburg,22335,,Germany,,,,,,,,,E-Shelter Colocation,,,x,
,,,,GTT,,,,Wendenstrasse 408,,,,Hamburg,20537,,Germany,,,,,,,,,IPHH,,,ICB*,
,,,,GTT,,,,Hans-Thoma-Strasse 17,,,,Mannheim,68163,,Germany,,,,,,,,,Itenos,,x,,
,,,,GTT,,,,Mí_nchener Str. 101B,,,,Ismaning,85737,,Germany,,,,,,,,,Home Shopping Europe,,,,x
,,,,GTT,,,,Seidlstrasse 3,,,,Munich,80335,,Germany,,,,,,,,,Equinix,MU1,,x,
,,,,GTT,,,,Victor Hugo u. 18,,,,Budapest,1132,,Hungary,,,,,,,,,Interware,,,ICB*,
,,,,GTT,,,,Garrettstown,,,,Co. Cork,,,Ireland,,,,,,,,,GTT (Hibernia),,x,,
,,,,GTT,,,,Hollyhill Industrial Estate,,,,Cork,,,Ireland,,,,,,,,,Cork Internet eXchange,,x,,
,,,,GTT,,,,Drogheda,,,,Co. Louth,,,Ireland,,,,,,,,,E-Net,,x, ,
,,,,GTT,,,,15 Ballycoolin Rd,,,,Ballycoolin,,,Ireland,,,,,,,,,Dataplex,B10,x, ,
,,,,GTT,,,,4027 Kingswood Rd,Cheeverstown,,,Dublin,,,Ireland,,,,,,,,,Equinix (Fka Telecity),,x, ,
,,,,GTT,,,,55 N11,,,,Dublin,,,Ireland,,,,,,,,,,,,,x
,,,,GTT,,,,6/7 Kilcarbery Park Nangor Rd,,,,Dublin,22,,Ireland,,,,,,,,,Equinix (Fka Telecity),,x,x,
,,,,GTT,,,,Hibernia CLS,Clonshaugh Ind Est.,,,Dublin,,,Ireland,,,,,,,,,GTT (Hibernia),,x,ICB*,x
,,,,GTT,,,,New Nangor Road,,,,Co. Dublin,,,Ireland,,,,,,,,,,,x, ,
,,,,GTT,,,,Northwest Business Park (Telecity),,,,Dublin,,,Ireland,,,,,,,,,Equinix (Fka Telecity),,x,ICB*,
,,,,GTT,,,,Unit 24 Hume Avenue,Park West Business Park,,,Dublin,12,,Ireland,,,,,,,,,InterXion,DUB2,,x,
,,,,GTT,,,,Unit 35 Lavery Avenue,,,,Dublin,12,,Ireland,,,,,,,,,InterXion Dublin Ltd,,,x,
,,,,GTT,,,,Unit 4027 Kingswood Road,,,,Dublin,D24,,Ireland,,,,,,,,,Equinix (Fka Telecity),,,x,
,,,,GTT,,,,Rampart Ln,Dundalk,,,Co. Louth,,,Ireland,,,,,,,,,,,x, ,
,,,,GTT,,,,Justice Walsh Rd,Letterkenny,,,Co. Donegal,,,Ireland,,,,,,,,,,,x, ,
,,,,GTT,,,,York St,"Conabury, Castleblayney",,,Co. Monaghan,,,Ireland,,,,,,,,,E-Net,,x, ,
,,,,GTT,,,,North Rd,,,,Monaghan,,,Ireland,,,,,,,,,,,x, ,
,,,,GTT,,,,Via Caldera 21,,,,Milan,20153,,Italy,,,,,,,,,Tiscali Italia & KPNQwest Italia,,,x,
,,,,GTT,,,,Via Caldera 25,,,,Milan,20153,,Italy,,,,,,,,,Infracom Network Application SpA,,,x,
,,,,GTT,,,,Via Cornelia 498,,,,Rome,166,,Italy,,,,,,,,,Interoute SpA ,,,x,
,,,,GTT,,,,Via dei Tizii 6,,,,Rome,185,,Italy,,,,,,,,,NaMex Internet eXchange,,,x,
,,,,GTT,,,,Corso Svizzera 185A,,,,Turin,10149,,Italy,,,,,,,,,IT Gate S.p.A. & Tiscaly Italy,,,x,
,,,,GTT,,,,ZaÛ‡usalas krastmala 1,Zemgales priekçpilsÛñta,,,RÛ‚ga,LV-1050,,Latvia,,,,,,,,,GTT (Hibernia),,,,x
,,,,GTT,,,,4 Luttenbergweg,,,,Amsterdam,1101 EC,,Netherlands,,,,,,,,,Equinix,AM2,,x,
,,,,GTT,,,,Cateringweg 5,1118 AM Schiphol,,,Amsterdam,,,Netherlands,,,,,,,,,Terremark / Verizon,,,x,
,,,,GTT,,,,Cessnalaan 1,Schiphol Rijk,,,Amsterdam,1119 NJ,,Netherlands,,,,,,,,,InterXion,AMS3,,x,
,,,,GTT,,,,Gyroscoopweg 2E - 2F,,,,Amsterdam,1042 AB,,Netherlands,,,,,,,,,Equinix,AM8,,x,
,,,,GTT,,,,J.W. Lucasweg 35,,,,Haarlem,,,Netherlands,,,,,,,,,EvoSwitch,,x,ICB*,
,,,,GTT,,,,Johan Huizingalaan 759,,,,Amsterdam,1066 VH,,Netherlands,,,,,,,,,Global Switch Amsterdam,,x,x,
,,,,GTT,,,,Joop Geesinkweg 401,,,,Amsterdam,1096 AX,,Netherlands,,,,,,,,,TeliaSonera,,,,x
,,,,GTT,,,,Kruislaan 409,,,,Amsterdam,1098 SH,,Netherlands,,,,,,,,,NIKHEF,,,ICB*,
,,,,GTT,,,,Kuiperbergweg 13,,,,Amsterdam,1101 AE,,Netherlands,,,,,,,,,Equinix,AM7,x,x,x
,,,,GTT,,,,Luttenbergweg 4,,,,Amsterdam-Zuidoost,1101 EC,,Netherlands,,,,,,,,,Equinix,AM2,x,ICB*,
,,,,GTT,,,,Science Park 105,,,,Amsterdam,1098 XG,,Netherlands,,,,,,,,,NIKHEF,,,x,
,,,,GTT,,,,Science Park 120,,,,Amsterdam,1098 XG,,Netherlands,,,,,,,,,Digital Realty (fka Telecity) AMS01,,,x,
,,,,GTT,,,,Science Park 121,,,,Amsterdam,1098 XG,,Netherlands,,,,,,,,,Vancis (SARA),,x,x,
,,,,GTT,,,,Science Park 610,,,,Amsterdam,1098 XH,,Netherlands,,,,,,,,,Equinix,AM3,x,x,
,,,,GTT,,,,Tupolevlaan 101,,,,Schiphol-Rijk,1119 PA,,Netherlands,,,,,,,,,InterXion,AMS5,,ICB*,
,,,,GTT,,,,Wenckebachweg 127,,,,Amsterdam,1096 AM,,Netherlands,,,,,,,,,Digital Realty (fka Telecity),,,x,
,,,,GTT,,,,Paul van Vlissingenstraat 16,,,,Amsterdam,1096 BK,,Netherlands,,,,,,,,,euNetworks,,,ICB*,
,,,,GTT,,,,Schepenbergweg 42,,,,Amsterdam,1105,,Netherlands,,,,,,,,,Equinix AM5,,,x,
,,,,GTT,,,,De Linge 26,,,,Dronten,8253 PJ,,Netherlands,,,,,,,,,Serverius,,,ICB*,
,,,,GTT,,,,Sumatralaan 45,,,,Hilversum,1217,,Netherlands,,,,,,,,,InterXion (TeliaSonera),,, ,x
,,,,GTT,,,,Schuttevaerweg 48 (R-IX),,,,,,,,,,,,,,,,Rotterdam Internet Exchange,,,ICB*,
,,,,GTT,,,,Portadown Rd,,,,Armagh,BT61,,UK,,,,,,,,,GTT (Hibernia),,x, ,
,,,,GTT,,,,Pennybridge Industrial Estate,,,,Ballymena,BT42 3ER,,UK,,,,,,,,,GTT (Hibernia),,x, ,
,,,,GTT,,,,Belfast,,,Review address,Belfast,BT3 9DT,,UK,,,,,,,,,GTT (Hibernia),,x, ,
,,,,GTT,,,,Carrickblacker Ave,Portadown,,,Craigavon,BT63 5BB,,UK,,,,,,,,,GTT (Hibernia),,x, ,
,,,,GTT,,,,Lisburn Rd,Belfast,,,county antrim,BT9 7GU,,UK,,,,,,,,,Eircom,,x,,
,,,,GTT,,,,Dundooan Rd,,,,Coleraine,BT52 1SF,,UK,,,,,,,,,GTT (Hibernia),,x, ,
,,,,GTT,,,,Strand Rd,,,,Londonderry,BT48,,UK,,,,,,,,,Telehouse (ILEX),,x, ,
,,,,GTT,,,,Gortrush Industrial Estate,,,,Omagh,BT78 5EJ,,UK,,,,,,,,,GTT (Hibernia),,x, ,
,,,,GTT,,,,47 Derry Rd,,,,Strabane,BT82 8DY,,UK,,,,,,,,,GTT (Hibernia),,x, ,
,,,,GTT,,,,íÖkern Torgvei 13,,,,Oslo,580,,Norway,,,,,,,,,Oslo Broadcast Center,,,,x
,,,,GTT,,,,Sigurds gate 14,,,,Oslo,650,,Norway,,,,,,,,,TeliaSonera,,,,x
,,,,GTT,,,,íÖstre Aker Vei 18a,,,,Oslo,581,,Norway,,,,,,,,,TeliaSonera,,,x,x
,,,,GTT,,,,Aleje Jerozolimskie 65,,,,Warszawa,00-697,,Poland,,,,,,,,,PLIX DC,,,x,
,,,,GTT,,,,8 Dimitrie Pompeiu Blvd,,,,Bucharest,20337,,Romania,,,,,,,,,NXDATA-1,,,x,
,,,,GTT,,,,Kopcianska 18,,,,Bratislava,851 01,,Slovakia,,,,,,,,,SITEL s.r.o.,,,x,
,,,,GTT,,,,Acero 30-32,,,,Barcelona,8038,,Spain,,,,,,,,,Itconic ,,,x,
,,,,GTT,,,,Calle de Albasanz 71,,,,Madrid,28037,,Spain,,,,,,,,,Interxion Spain,,,x,x
,,,,GTT,,,,Calle de Mesena 80,,,,Madrid,28033,,Spain,,,,,,,,,ESPANIX,,,x,
,,,,GTT,,,,Sala 105 - Edificio Empresarial Valsoto - c/ Valgrande n 6 - Alcobendas,,,,Madrid,28100,,Spain,,,,,,,,,Itconic ,,,x,
,,,,GTT,,,,Yecora 4 Poligono Las Mercedes,,,,Madrid,28022,,Spain,,,,,,,,,NAP of the Americas Madrid (Terremark),,,x,
,,,,GTT,,,,267 40 Bjuv,,,,,,,Sweden,,,,,,,,,TeliaSonera,,,,x
,,,,GTT,,,,Arkitektgatan 10,,,,Borlí_nge,781 70,,Sweden,,,,,,,,,TeliaSonera,,,,x
,,,,GTT,,,,Drottninggatan 29,,,,Gí_vle,803 11,,Sweden,,,,,,,,,TeliaSonera,,,,x
,,,,GTT,,,,Rimmaregatan 10,,,,Hisings Backa,422 55,,Sweden,,,,,,,,,TeliaSonera,,,,x
,,,,GTT,,,,Kí_pmansgatan 41,,,,Halmstad,302 42,,Sweden,,,,,,,,,TeliaSonera,,,,x
,,,,GTT,,,,Televí_gen 3,,,,Karlstad,656 31,,Sweden,,,,,,,,,TeliaSonera,,,,x
,,,,GTT,,,,Limhamnsgí«rdens allí© 18,,,,Limhamn,216 16,,Sweden,,,,,,,,,TeliaSonera,,,,x
,,,,GTT,,,,Kungsgatan 20,,,,Linkí_ping,582 18,,Sweden,,,,,,,,,TeliaSonera,,,,x
,,,,GTT,,,,Magasinsgatan 10,,,,Luleí«,972 41,,Sweden,,,,,,,,,TeliaSonera,,,,x
,,,,GTT,,,,Lund 240,,,,í_sthammar,742 94,,Sweden,,,,,,,,,TeliaSonera,,,,x
,,,,GTT,,,,435 33 Mí_lnlycke,,,,Mí_lnlycke,,,Sweden,,,,,,,,,TeliaSonera,,,,x
,,,,GTT,,,,602 26 Norrkí_ping,,,,Norrkí_ping,,,Sweden,,,,,,,,,TeliaSonera,,,,x
,,,,GTT,,,,702 27 í_rebro,,,,í_rebro,,,Sweden,,,,,,,,,TeliaSonera,,,,x
,,,,GTT,,,,í_stra Borsví_gen 30,,,,Vedeví«g,711 72,,Sweden,,,,,,,,,TeliaSonera,,,,x
,,,,GTT,,,,832 45 Frí_sí_n,,,,,,,Sweden,,,,,,,,,TeliaSonera,,,,x
,,,,GTT,,,,Storgatan,,,,Skellefteí«,,,Sweden,,,,,,,,,TeliaSonera,,,,x
,,,,GTT,,,,Esbogatan 11,,,,Kista,164 74,,Sweden,,,,,,,,,InterXion,STO1,,x,
,,,,GTT,,,,Hammarbybacken,,,,Johanneshov,121 45,,Sweden,,,,,,,,,TeliaSonera,,,,x
,,,,GTT,,,,Mariehí_llsví_gen 36,,,,Bromma,168 65,,Sweden,,,,,,,,,Equinix (Fka Telecity),,,x,
,,,,GTT,,,,Mí_rka Kroken 1,,,,Stockholm,115 27,,Sweden,,,,,,,,,TeliaSonera,,,,x
,,,,GTT,,,,Rí«lambsví_gen 28,,,,Stockholm,112 59,,Sweden,,,,,,,,,TeliaSonera,,,,x
,,,,GTT,,,,Solnavaegen 94 -169 51,,,,Solna,,,Sweden,,,,,,,,,TeliaSonera,,,x,
,,,,GTT,,,,Granloholmsví_gen 2,,,,Sundsvall,857 30,,Sweden,,,,,,,,,TeliaSonera,,,,x
,,,,GTT,,,,901 79,,,Review Address,Umea,815 38,,Sweden,,,,,,,,,TeliaSonera,,,,x
,,,,GTT,,,,Hardstrasse 235,,,,Zurich,8005,,Switzerland,,,,,,,,,Equinix ZH2,,,x,
,,,,GTT,,,,Margarethenstrasse 40,,,,Basel,4008,,Switzerland,,,,,,,,,Telehouse,,,x,
,,,,GTT,,,,Sí_gereistrasse 35,,,,Opfikon,8152,,Switzerland,,,,,,,,,InterXion,ZUR1,,x,
,,,,GTT,,,,Qatar Landing Station,,,,Doha,,,Qatar,,,,,,,,,GBI,,,x,
,,,,GTT,,,,Au Tower,,,,Dubai,,,United Arab Emirates,,,,,,,,,GBI,,,ICB*,
,,,,GTT,,,,Du Cable Landing Station,Corniche Road,,,Fujairah,,,United Arab Emirates,,,,,,,,,GBI,,,x,
,,,,GTT,,,,Wick Rd,Englefield Green,,,Egham,TW20 0HR,,UK,,,,,,,,,euNetworks,,x,,
,,,,GTT,,,,1 Earl St,,,,London,EC2A 2AL,,UK,,,,,,,,,London Stock Exchange (LSE),,x, ,
,,,,GTT,,,,1 Harbour Exchange Square,Isle of Dogs,,,London,E14,,UK,,,,,,,,,TeliaSonera,,,,x
,,,,GTT,,,,11 Hanbury Street,,,,London,E1 6QR,,UK,,,,,,,,,InterXion,LON1,x,x,x
,,,,GTT,,,,14 Coriander Ave,Poplar,,,London,E14 2AA,,UK,,,,,,,,,Telehouse North / TeliaSonera,,x,x,x
,,,,GTT,,,,2 Buckingham Ave,,,,London,SL1 4NB,,UK,,,,,,,,,Equinix,LD4,x,x,
,,,,GTT,,,,215 Marsh Wall,,,,London,E14 9FJ,,UK,,,,,,,,,TelecityGroup (TIN),,,x,
,,,,GTT,,,,227 Marsh Wall,,,,London,E14 9SD,,UK,,,,,,,,,TelecityGroup LON3,LON3,x,x,
,,,,GTT,,,,240 East India Dock Road,,,,London,E14 9YY,,UK,,,,,,,,,Kcom Group,,,x,
,,,,GTT,,,,6 Greenwich View,Isle of Dogs,,,London,E14 9NN,,UK,,,,,,,,,London Hosting Centre,,x, ,
,,,,GTT,,,,6/7 Harbour Exchange Square,,,,London,E14 9GE,,UK,,,,,,,,,Equinix LD8,,,x,
,,,,GTT,,,,64 Newman St,Fitzrovia,,,London,W1T 3EF,,UK,,,,,,,,,Travel Channel International,,,,x
