peering DB id,PP Count,IX Count,Inflect IDs,Data Center Owner,Marketing Name,name,DC Code,address1,address2,campus,notes,city,zipcode,state,country,npanxx,peeringDB owner_id,clli,Future Planned DC,rencode,Retired DC,Not Found,Data Source URL,Colo Provider,Colo provider DC code,Optical Transport,IP and EtherCloud,Video
,,,,GTT,,,,1825 Kramer Lane,,,,Austin,78758,TX,USA,,,,,,,,,Level3,,,x,
,,,,GTT,,,,111 Market Pl,,,,Baltimore,21202,MD,USA,,,,,,,,,Zayo (zColo),,,,x
,,,,GTT,,,,300 West Lexington Street,,,,Baltimore,21201,MD,USA,,,,,,,,,Level3,,,x,
,,,,GTT,,,,2325 W Market St,,,,Bloomington,61705,IL,USA,,,,,,,,,,,,,x
,,,,GTT,,,,1 Summer St,,,,Boston,2110,MA,USA,,,,,,,,,Markley,,x,x,x
,,,,GTT,,,,70 Inner Belt Rd,,,,Somerville,2143,MA,USA,,,,,,,,,CoreSite,,x, ,
,,,,GTT,,,,91 Commercial St,,,,Lynn,1905,MA,USA,,,,,,,,,GTT (Hibernia),,x, ,x
,,,,GTT,,,,ESPN Dr,,,,Bristol,6010,CT,USA,,,,,,,,,ESPN,,,,x
,,,,GTT,,,,350 Main St,,,,Buffalo,14202,NY,USA,,,,,,,,,365 Main Data Center,,x,ICB*,
,,,,GTT,,,,113 N Myers St,,,,Charlotte,28202,NC,USA,,,,,,,,,TelX CHR1,,,x,
,,,,GTT,,,,530 Echostar Dr,,,,Cheyenne,82007,WY,USA,,,,,,,,,Echostar,,,,x
,,,,GTT,,,,111 N Canal St,,,,Chicago,60606,IL,USA,,,,,,,,,Level3,,,x,
,,,,GTT,,,,1905 Lunt Ave,,,,Chicago,60007,IL,USA,,,,,,,,,Equinix,CH3,,x,
,,,,GTT,,,,2200 Busse Rd,,,,Chicago,60007,IL,USA,,,,,,,,,Server Central DF-CH1,CH1,,x,
,,,,GTT,,,,350 E Cermak Rd,,,,Chicago,60616,IL,USA,,,,,,,,,Equinix,CH1 / CH2,x,x,x
,,,,GTT,,,,427 S La Salle St,,,,Chicago,60605,IL,USA,,,,,,,,,365 Main Data Center,,,x,
,,,,GTT,,,,601 W Polk St,,,,Chicago,60607,IL,USA,,,,,,,,,Tierpoint,,,x,
,,,,GTT,,,,717 S Wells St,,,,Chicago,60607,IL,USA,,,,,,,,,Inteliquent,,,x,
,,,,GTT,,,,Keith Bldg,1621 Euclid Ave,,,Cleveland,44115,OH,USA,,,,,,,,,Level3 7th Flr / GTT(Hibernia) 5th Flr,,, ,x
,,,,GTT,,,,1221 Coit Rd,,,,Dallas,75075,TX,USA,,,,,,,,,Internap,,,x,
,,,,GTT,,,,1950 N Stemmons Fwy,,,,Dallas,75207,TX,USA,,,,,,,,,Equinix / Cologix ,DA1 DA2 DA3,,x,
,,,,GTT,,,,2323 Bryan St,,,,Dallas,75201,TX,USA,,,,,,,,,Equinix,DA4,, ,x
,,,,GTT,,,,400 S. Akard St,,,,Dallas,75202,TX,USA,,,,,,,,,Databank,,,x,
,,,,GTT,,,,8345 N Stemmons Fwy,,,,Dallas,75247,TX,USA,,,,,,,,,TelX DAL2,,,x,
,,,,GTT,,,,527 Main St,,,,Damariscotta,4543,ME,USA,,,,,,,,,MFC,,x,,
,,,,GTT,,,,1500 Champa St,,,,Denver,80202,CO,USA,,,,,,,,,Morgan Reed,,,x,
,,,,GTT,,,,1850 Pearl Street,,,,Denver,80203,CO,USA,,,,,,,,,Level3 ,,,x,
,,,,GTT,,,,4100 E Dry Creek Rd,,,,Centennial,80122,CO,USA,,,,,,,,,NBC Universal / Comcast Media,,,,x
,,,,GTT,,,,910 15th St,,,,Denver,80202,CO,USA,,,,,,,,,CoreSite,,,x,x
,,,,GTT,,,,21005 Lahser Rd,,,,Detroit,48033,MI,USA,,,,,,,,,EdgeConnex,,,x,
,,,,GTT,,,,1001 Texas St,,,,Houston,77002,TX,USA,,,,,,,,,Quasar,,,x,
,,,,GTT,,,,1301 Fannin St,,,,Houston,77002,TX,USA,,,,,,,,,Internap,,,x,
,,,,GTT,,,,4201 Southwest Fwy,,,,Houston,77027,TX,USA,,,,,,,,,CyrusOne,,, ,x
,,,,GTT,,,,800 Water St #202,,,,Jacksonville,32204,FL,USA,,,,,,,,,GoRack,,,ICB*,
,,,,GTT,,,,1102 Grand Blvd #604,,,,Kansas City,64106,MO,USA,,,,,,,,,1102 Grand LLC,,,x,x
,,,,GTT,,,,7135 S Decatur Blvd,,,,Las Vegas,89118,NV,USA,,,,,,,,,SuperNap (fka Switch Com),,,x,
,,,,GTT,,,,7185 Pollock Dr,,,,Las Vegas,89119,NV,USA,,,,,,,,,Zayo (zColo),,,,x
,,,,GTT,,,,100 Universal Plaza,,,,Los Angeles,91608,CA,USA,,,,,,,,,NBC Universal,,,x,
,,,,GTT,,,,12800 Culver Blvd,,,,Los Angeles,90066,CA,USA,,,,,,,,,DirecTV Broadcast Center,,,,x
,,,,GTT,,,,1920 E Maple Street,,,,Los Angeles,90245,CA,USA,,,,,,,,,Equinix LA3,,,x,
,,,,GTT,,,,3800 Via Oro Ave,,,,Long Beach,90810,CA,USA,,,,,,,,,DirecTV California Broadcast Center,,,,x
,,,,GTT,,,,4000 Warner Blvd,,,,Burbank,91522,CA,USA,,,,,,,,,Warner Brothers Studio,,,,x
,,,,GTT,,,,555 Anton Blvd.,,,,Los Angeles,96161,CA,USA,,,,,,,,,,,,,x
,,,,GTT,,,,600 W 7th St,,,,Los Angeles,90017,CA,USA,,,,,,,,,TelX MMR,,, ,x
,,,,GTT,,,,624 S Grand Ave,,,,Los Angeles,90017,CA,USA,,,,,,,,,CoreSite,,x,x,x
,,,,GTT,,,,800 S Hope St,,,,Los Angeles,90017,CA,USA,,,,,,,,,US Colo,,,x,
,,,,GTT,,,,900 N Alameda St,,,,Los Angeles,90012,CA,USA,,,,,,,,,CoreSite,LA2,,x,
,,,,GTT,,,,200 South 10th St.,,,,McAllen,78501,TX,USA,,,,,,,,,McAllen Data Center,,,x,
,,,,GTT,,,,2115 NW 22nd St,,,,Miami,33142,FL,USA,,,,,,,,,CoreSite,MI1,,x,
,,,,GTT,,,,36 NE 2nd Street,,,,Miami,33132,FL,USA,,,,,,,,,TelX/ColoHouse/Interconnect Miami,,,x,
,,,,GTT,,,,50 NE 9th St,,,,Miami,33132,FL,USA,,,,,,,,,Terremark / Verizon,,,x,x
,,,,GTT,,,,511 11th Ave S,,,,Minneapolis,55415,MN,USA,,,,,,,,,511 Building,,,x,
,,,,GTT,,,,100 William St,,,,New York,10038,NY,USA,,,,,,,,,New York Internet,,,x,
,,,,GTT,,,,111 8th Ave,,,,New York,10011,NY,USA,,,,,,,,,TelX/Equinix/Level3/XO/Zayo/Telia,,x,x,x
,,,,GTT,,,,111 Town Square Place,,,,Jersey City,7310,NJ,USA,,,,,,,,,Hidalgo Communications,,,x,
,,,,GTT,,,,1350 Washington Blvd,,,,Stamford,6902,CT,USA,,,,,,,,,Lightower (Fka Fibertech),,x,,
,,,,GTT,,,,1351 Washington Blvd,,,,Stamford,6902,CT,USA,,,,,,,,,Lightower (Fka Fibertech),,x, ,x
,,,,GTT,,,,1400 Federal Blvd,,,,Carteret,7008,NJ,USA,,,,,,,,,NASDAQ / Verizon Business,,x, ,
,,,,GTT,,,,165 Halsey St,,,,Newark,7102,NJ,USA,,,,,,,,,Equinix / Zayo ,NY1,x,x,
,,,,GTT,,,,2 Emerson Lane,,,,Secaucus,7094,NJ,USA,,,,,,,,,CoreSite,NY2,,x,
,,,,GTT,,,,250 Harbor Dr,,,,Stamford,6902,CT,USA,,,,,,,,,A&E Television Network,,,,x
,,,,GTT,,,,275 Hartz Way,,,,Secaucus,7094,NJ,USA,,,,,,,,,Equinix,NY2,,x,
,,,,GTT,,,,300 J F Kennedy Blvd E,,,,Weehawken,7086,NJ,USA,,,,,,,,,CenturyLink / Digital Realty,,x, ,
,,,,GTT,,,,32 Ave of the Americas,,,,New York,10013,NY,USA,,,,,,,,,TelX NY3,NY3,x,x,x
,,,,GTT,,,,360 Hamilton Ave,,,,White Plains,10601,NY,USA,,,,,,,,,Lightower (fka Neon),,x, ,
,,,,GTT,,,,545 5th Ave #1200,,,,New York,10017,NY,USA,,,,,,,,,,,,,x
,,,,GTT,,,,5851 West Side Ave,,,,North Bergen,7047,NJ,USA,,,,,,,,,Equinix NY7,,x, ,
,,,,GTT,,,,60 Hudson St,,,,New York,10013,NY,USA,,,,,,,,,TelX/Zayo/Telia/Sirius,,x,x,x
,,,,GTT,,,,601 West 26th St,,,,New York,10001,NY,USA,,,,,,,,,Broadview Networks,,,x,
,,,,GTT,,,,620 Hicksville Rd,,,,Bethpage,11714,NY,USA,,,,,,,,,AMC Networks Broadcasting,,,,x
,,,,GTT,,,,755 Secaucus Rd,,,,Secaucus,7094,NJ,USA,,,,,,,,,Equinix,NY4,x, ,
,,,,GTT,,,,85 10th Ave,,,,New York,10011,NY,USA,,,,,,,,,Telehouse,,,x,
,,,,GTT,,,,380 S Lake Destiny Rd,,,,Orlando,32801,FL,USA,,,,,,,,,Level3,,,x,
,,,,GTT,,,,2401 Locust St,,,,Philadelphia,19103,PA,USA,,,,,,,,,Zayo (zColo),,x,,
,,,,GTT,,,,401 N Broad St,,,,Philadelphia,19108,PA,USA,,,,,,,,,Lightower,,x,x,x
,,,,GTT,,,,120 Van Buren St,,,,Phoenix,85004,AZ,USA,,,,,,,,,TelX,,,x,x
,,,,GTT,,,,211 W Monroe St,,,,Phoenix,85003,AZ,USA,,,,,,,,,CenturyLink,,,x,
,,,,GTT,,,,2335 S. Ellis Street,,,,Phoenix,85286,AZ,USA,,,,,,,,,CyrusOne,,,x,
,,,,GTT,,,,3402 E University Dr,,,,Phoenix,85034,AZ,USA,,,,,,,,,Phoenix NAP,,,x,
,,,,GTT,,,,615 North 48th St,,,,Phoenix,85008,AZ,USA,,,,,,,,,IO Data Center,,,x,
,,,,GTT,,,,801 N Dish Dr,,,,Gilbert,85233,AZ,USA,,,,,,,,,Echo Star Communications,,,,x
,,,,GTT,,,,8521 E Princess Dr,,,,Phoenix,85255,AZ,USA,,,,,,,,,IO Data Center,,,x,
,,,,GTT,,,,201 Browntown Rd,,,,New Kensington,15068,PA,USA,,,,,,,,,Pittsburgh Teleport,,,,x
,,,,GTT,,,,179 Social Hall Ave,,,,Salt Lake City,84111,UT,USA,,,,,,,,,C7 Data Centers,,,x,
,,,,GTT,,,,4216 University Ave,,,,San Diego,92105,CA,USA,,,,,,,,,,,,,x
,,,,GTT,,,,5761 Copley Dr,,,,San Diego,92111,CA,USA,,,,,,,,,EdgeConnex,,,x,
,,,,GTT,,,,200 Paul Ave,,,,San Francisco,94124,CA,USA,,,,,,,,,TelX,,,x,x
,,,,GTT,,,,365 Main St,,,,San Francisco,94105,CA,USA,,,,,,,,,Digital Realty,,,x,
,,,,GTT,,,,11 Great Oaks Blvd,,,,San Jose,95119,CA,USA,,,,,,,,,Equinix,SV1,x,x,
,,,,GTT,,,,1380 Kifer Road,,,,San Jose,94086,CA,USA,,,,,,,,,Level3,,,x,
,,,,GTT,,,,1735 Lundy Ave,,,,San Jose,95131,CA,USA,,,,,,,,,Equinix,SV3,,x,
,,,,GTT,,,,2972 Stender Way,,,,San Jose,95054,CA,USA,,,,,,,,,CoreSite,,,x,
,,,,GTT,,,,529 Bryant St,,,,San Jose,94301,CA,USA,,,,,,,,,Equinix,SV8,,x,
,,,,GTT,,,,55 S Market St,,,,San Jose,95113,CA,USA,,,,,,,,,CoreSite,SV1,,x,
,,,,GTT,,,,2001 6th Ave,,,,Seattle,98121,WA,USA,,,,,,,,,Equinix,SE2,x,x,x
,,,,GTT,,,,4949 Randolph Road NE,,,,Seattle,98837,WA,USA,,,,,,,,,Digital Fortress,,,x,
,,,,GTT,,,,1000 Town Center,,,,Southfield,48075,MI,USA,,,,,,,,,EdgeConnex,,,,x
,,,,GTT,,,,5908 Hampton Oaks Pkwy,,,,Tampa,33610,FL,USA,,,,,,,,,CenturyLink,,,,x
,,,,GTT,,,,655 N Franklin,,,,Tampa,33602,FL,USA,,,,,,,,,365 Main Data Center,,,x,
,,,,GTT,,,,1010 Wayne Ave.,,,,Silver Spring,20910,MD,USA,,,,,,,,,Atlantech Online,,,x,
,,,,GTT,,,,1275 K Street NW,,,,Washington,20005,DC,USA,,,,,,,,,CoreSite,DC1,x,x,x
,,,,GTT,,,,1755 Old Meadow Dr,,,,McLean,22102,VA,USA,,,,,,,,,Global Capacity,,,x,
,,,,GTT,,,,2000 M St NW,,,,Washington,20036,DC,USA,,,,,,,,,DCI Teleport,,,,x
,,,,GTT,,,,Boulevard Benito Juíçrez 20,Colonia San Mateo Cuautepec,,,Tultitlíçn,,,Mexico ,,,,,,,,,KIO Data Center,,,x,
