peering DB id,PP Count,IX Count,Inflect IDs,Data Center Owner,Marketing Name,name,DC Code,address1,address2,campus,notes,city,zipcode,state,country,npanxx,peeringDB owner_id,clli,Future Planned DC,rencode,Retired DC,Not Found,Data Source URL
,,,,Level3,,Memphis 2,,5425 E Raines Rd,,,,Memphis,38115,TN,USA,,,,,,,,
,,,,Level3,,Milwaukee 1,,3235 Intertech Dr,,,,Milwaukee,53045,WI,USA,,,,,,,,
,,,,Level3,,Minneapolis 4,,511 11th Ave S,,,,Minneapolis,55415,MN,USA,,,,,,,,
,,,,Level3,,Minneapolis 6,,5500 Feltl Rd,,,,Minneapolis,55343,MN,USA,,,,,,,,
,,,,Level3,,Minneapolis 5,,5480 Feltl Rd,,,,Minneapolis,55343,MN,USA,,,,,,,,
,,,,Level3,,Nashville 4,,708 Melrose Ave,,,,Nashville,37211,TN,USA,,,,,,,,
,,,,Level3,,New Orleans 2,,1250 Poydras St,Suite 500,,,New Orleans,70113,LA,USA,,,,,,,,
,,,,Level3,,Irvine 1,,7 Mason,,,,Irvine,92618,CA,USA,,,,,,,,
,,,,Level3,,Orlando 3,,7003 Presidents Dr,,,,Orlando,32809,FL,USA,,,,,,,,
,,,,Level3,,Portland 3,,14197 SW Millikan Way,,,,Portland,97005,OR,USA,,,,,,,,
,,,,Level3,,Raleigh 4,,924 Ellis Rd,,,,Raleigh,27703,NC,USA,,,,,,,,
,,,,Level3,,Rochester 3,,150 Mile Crossing Blvd,,,,Rochester,14624,NY,USA,,,,,,,,
,,,,Level3,,San Antonio 3,,214 E Ramsey Rd,,,,San Antonio,78216,TX,USA,,,,,,,,
,,,,Level3,,Seattle 4,,223 Taylor Ave N,,,,Seattle,98109,WA,USA,,,,,,,,
,,,,Level3,,Seattle 5,,22722 29th Drive SE,,,,Seattle,98011,WA,USA,,,,,,,,
,,,,Level3,,Tucson 2,,3836 S Evans Blvd,,,,Tucson,85714,AZ,USA,,,,,,,,
