peering DB id,PP Count,IX Count,Inflect IDs,Data Center Owner,Marketing Name,name,DC Code,address1,address2,campus,notes,city,zipcode,state,country,npanxx,peeringDB owner_id,clli,Future Planned DC,rencode,Retired DC,Not Found,Data Source URL
,,,,Level3,,San Jose 1,,1741 Technology Drive,Suite 100,,,San Jose,95110,CA,USA,,,,,,,,
,,,,Level3,,San Luis Obispo 1,,775 Capitolio Way,,,,San Luis Obispo,93401,CA,USA,,,,,,,,
,,,,Level3,,Santa Barbara 1,,122 Helena Ave,,,,Santa Barbara,93101,CA,USA,,,,,,,,
,,,,Level3,,Santa Clara 1,,3045 Raymond Street,1st Floor,,,Santa Clara,95054,CA,USA,,,,,,,,
,,,,Level3,,Santa Clara 2,,3045 Raymond Street,2nd Floor,,,Santa Clara,95054,CA,USA,,,,,,,,
,,,,Level3,,Sunnyvale 1,,1380 Kifer Road,,,,Sunnyvale,94086,CA,USA,,,,,,,,
,,,,Level3,,Sunnyvale 3,,444 Toyama Drive,2nd Floor,,,Sunnyvale,94089,CA,USA,,,,,,,,
,,,,Level3,,Tustin 1,,14452 Franklin Avenue ,,,,Tustin,92780,CA,USA,,,,,,,,
,,,,Level3,,Toronto 1,,8 Garamond Court ,,,,Toronto,M3C 1Z4,Ontario,Canada,,,,,,,,
,,,,Level3,,Aurora 1,,23901 E 6TH AVE,,,,Aurora,80018,CO,USA,,,,,,,,
,,,,Level3,,Colorado Springs 2,,102 S Tejon Street,Suite 520,,,Colorado Springs,80903,CO,USA,,,,,,,,
,,,,Level3,,Denver 1,,1850 Pearl Street,"Garden Level, 2nd Floor",,,Denver,80203,CO,USA,,,,,,,,
,,,,Level3,,Denver 2,,910 15th Street,6th Floor,,,Denver,80202,CO,USA,,,,,,,,
,,,,Level3,,Denver 3,,910 15th Street,7th Floor,,,Denver,80202,CO,USA,,,,,,,,
,,,,Level3,,Denver 4,,950 17th Street,11th Floor,,,Denver,80202,CO,USA,,,,,,,,
,,,,Level3,,Hartford 1,,155 Locust Street,,,,Hartford,6114,CT,USA,,,,,,,,
,,,,Level3,,New Haven 1,,54 Meadow Street,,,,New Haven,6519,CT,USA,,,,,,,,
,,,,Level3,,Stamford 1,,21 Harborview,,,,Stamford,6902,CT,USA,,,,,,,,
,,,,Level3,,"Washington, DC 1",,1120 Vermont Avenue NW,1st Floor,,,Washington,20005,DC,USA,,,,,,,,
,,,,Level3,,"Washington, DC 2",,1220 L Street NW,Suite 200,,,Washington,20005,DC,USA,,,,,,,,
,,,,Level3,,"Washington, DC 4",,1828 L ST NW,Suite 550,,,Washington,20036,DC,USA,,,,,,,,
,,,,Level3,,Newark (DE) 1,,504 Interchange Blvd,,,,Newark,19711,DE,USA,,,,,,,,
,,,,Level3,,Wilmington 1,,1603 North Jessup Street,,,,Wilmington,19802,DE,USA,,,,,,,,
,,,,Level3,,Daytona Beach 1,,111 N Segrave Street,,,,Daytona Beach,32114,FL,USA,,,,,,,,
,,,,Level3,,Ft Lauderdale 1,,200 NW 2nd Street,,,,Ft. Lauderdale,33311,FL,USA,,,,,,,,
,,,,Level3,,Fort Myers 1,,1547 Seaboard Street,,,,Ft. Myers,33916,FL,USA,,,,,,,,
,,,,Level3,,Jacksonville 1,,4814 Phillips Highway,,,,Jacksonville,32207,FL,USA,,,,,,,,
,,,,Level3,,Jacksonville 2,,608 W. Adams Street,,,,Jacksonville,32204,FL,USA,,,,,,,,
,,,,Level3,,Melbourne 1,,1110 Line Street,,,,Melbourne,32901,FL,USA,,,,,,,,
,,,,Level3,,Miami 3,,200 SE First Street,10th Floor,,,Miami,33131,FL,USA,,,,,,,,
,,,,Level3,,Miami 1,,49 NW 5th Street,,,,Miami,33128,FL,USA,,,,,,,,
,,,,Level3,,Miami 2,,50 NE 9th Street,6th Floor,,,Miami,33132,FL,USA,,,,,,,,
,,,,Level3,,Orlando 1,,380 Lake Destiny Drive,,,,Orlando,32805,FL,USA,,,,,,,,
,,,,Level3,,Orlando 2,,510 W. Columbia Street,,,,Orlando,32805,FL,USA,,,,,,,,
,,,,Level3,,Tallahassee 2,,1416 S. Adams St,,,,Tallahassee,32301,FL,USA,,,,,,,,
,,,,Level3,,Tallahassee 1,,619 Mabry Street,,,,Tallahassee,32304,FL,USA,,,,,,,,
,,,,Level3,,Tampa 3,,1700 N 25th Street,,,,Tampa,33605,FL,USA,,,,,,,,
,,,,Level3,,Tampa 4,,400 N Tampa Street,7th - 8th Floor,,,Tampa,33602,FL,USA,,,,,,,,
,,,,Level3,,Tampa 2,,5907 Hampton Oaks Parkway,Suite F,,,Tampa,33610,FL,USA,,,,,,,,
,,,,Level3,,Tampa 1,,7909 Woodland Center Blvd,,,,Tampa,33614,FL,USA,,,,,,,,
,,,,Level3,,West Palm Beach 1,,410 Hampton Road ,,,,West Palm Beach,33405,FL,USA,,,,,,,,
,,,,Level3,,Atlanta 2,,180 Peachtree Street,,,,Atlanta,30303,GA,USA,,,,,,,,
,,,,Level3,,Atlanta 4,,250 Williams Street,1st Floor,,,Atlanta,30303,GA,USA,,,,,,,,
,,,,Level3,,Atlanta 1,,345 Courtland Street NE,,,,Atlanta,30308,GA,USA,,,,,,,,
