peering DB id,PP Count,IX Count,Inflect IDs,Data Center Owner,Marketing Name,name,DC Code,address1,address2,campus,notes,city,zipcode,state,country,npanxx,peeringDB owner_id,clli,Future Planned DC,rencode,Retired DC,Not Found,Data Source URL,Neighboorhood,DC Parent,DC Parent Code,Carrier,Carrier,Carrier,Carrier,Carrier,Carrier,Carrier,Location ,Service Level Agreement,Power/Cooling,Power/Cooling,Power/Cooling,Power/Cooling,Certifications,Certifications,Certifications,Certifications,Certifications,Certifications
,,,,ZenLayer,,,AKL1,162 Grafton Road,Grafton,,,Auckland,,,New Zealand,,,,,,,,,,Compass,,Compass,,,,,,,19 km/12 mi to Auckland International Airport (AKL),,,,,,,,,,,
,,,,ZenLayer,,,BOM1,"Tower A, 7th Floor",Kashinath Dhuru Marg,,,Mumbai,,,India,,,,,,,,,,Tata,,Tata,,,,,,,,,,,,,,,,,,
,,,,ZenLayer,,,JKT1,JL. DI Panjaitan Kav. 42,,,,Jakarta,,,Indonesia,,,,,,,,,,Telkom Indonesia,,Telkom Indonesia,,,,,,,,,,,,,,,,,,
,,,,ZenLayer,,,OSA1,,,,,Osaka,,,Japan,,,,,,,,,,NTT Osaka 5,,NTT,,,,,,,,,,,,,,,,,,
,,,,ZenLayer,,,TYO1,,,,,Tokyo,,,Japan,,,,,,,,,,NTT Tokyo 4,,NTT,,,,,,,"3 km/2 mi to Tokyo station
 80 min drive to Narita International Airport (NRT)",,Electrical Capacity – up to 6 kVA per rack,UPS configuration – N+1 redundant topology," Cooling – Water-cooling system, N+1 redundant configuration",,  ISO 9001,ISO 14000, ISO 20000,ISO 22301, ISO 27001,COPC-2000
,,,,ZenLayer,,,KUL1,No.1 Jalan Tun Mohd Fuad,Level 5,,,Kuala Lumpur,60000,,Malaysia,,,,,,,,,Taman Tun Dr Ismail,Telekom Malaysia,,Telekom Malaysia,,,,,,, 60 km/ 37 mi to Kuala Lumpur International Airport (KUL),," Dual incoming power supply (N+1 system), with back-up power from 2 generators",Generator – Configured for N+1 availability, Multiple UPS systems configured as 2N,  Cooling System – N+1 air-cooled system and distribution path, ISO 27001:2005,TIA 942 Data Center Infrastructure, OSHE,ITIL, Uptime Institute Standard,
,,,,ZenLayer,,,SIN2,15 Pioneer Walk,,,,,627753,,Singapore,,,,,,,,,,Equinix IBX, SG2,PCCW,Singtel,Tata,Starhub,EIE,,,40 km/25 mi to Singapore Changi International Airport (SIN),"99.999+% Power availability
 99.99+% Temperature & Humidity availability
99.99+% Cross Connect availability", Electrical Capacity – 3.6 kVA," UPS Configuration – N+N / N+1 / 2N redundancy topology, depending on equipmen",Cooling Capacity – 3.6 kVA,"Cooling Configuration – N+1 or N+20%, depending on equipment",ISO/IEC 27001: 2013, SSAE16 SOC-1 Type II,SS 564 Part-1 : 2013,BCA-IDA Green Mark GoldPLUS,,
,,,,ZenLayer,,,SEL1,Gwanghwamun Global DIC,178 Sejongdaero,,,Seoul,,,South Korea,,,,,,,,,Jongro-gu,Korea Telecom,,Korea Telecom,,,,,,,"16 km/10 mi to Gimbo International Airport (NRT)
49 km/30 mi to Incheon International Airport (ICN)",,,,,,"TIA-942 Tier 3,4",,,,,
,,,,ZenLayer,,,KHH1,"2F, No.18 Zhongshan 1st Rd.",,,,Kaohsiung,,,Taiwan,,,,,,,,,Xinxing District,CHT,,CHT,,,,,,,9 km/5 mi to Kaohsiung International Airport (KHH),,Cooling – N+1 redundancy,"UPS power supply circuit, dual source substation, diesel generator",,, ISO 9001,OHSAS 18001, ISO 14001,ISO 27001/27011,ISO 50001,
,,,,ZenLayer,,,TPE1,No.8 Guoqing Rd.,,,,Taipei,,,Taiwan,,,,,,,,,Banqiao District,CHT,,CHT,,,,,,,,,,,,,,,,,,
,,,,ZenLayer,,,BKK1,1854 Bangna Trad Road,3rd Floor,,,Bangkok,,,Thailand,,,,,,,,,Bang Na,TCCT,,UIH,,,,,,, 10 km/6 mi to Suwannabhumi International Airport (BKK),,,,,, ISO 9001,ISO 27001,,,,
,,,,ZenLayer,,,SGN1,FPT IDC HCM,Lô 37-39A,,,HCMC,đường 19,,Vietnam,,,,,,,,,,FPT,,FPT,,,,,,,,,,,,,,,,,,
,,,,ZenLayer,,,PEK2,15 Tongji Rd.,,,,Beijing,,,China,,,,,,,,,Beijing Economic-Technological Development Area,,,China Unicom,,,,,,,,,,,,,,,,,,
,,,,ZenLayer,,,CTU1,1666 YiZhouDaDao Rd.,,,,Chengdu,610095,,China,,,,,,,,,,"Litong Network Technology Co., Ltd.",,China Telecom,,,,,,,14 km/9 mi to Chengdu Shuangliu International Airport (CTU),,,,,,Five Star Diamond,Anti-seismic grade 8,,,,
,,,,ZenLayer,,,CKG1,32 Huixingbaotong St.,7th floor,,,Chongqing,401120,,China,,,,,,,,,Yubei District,China Telecom/GS,,China Telecom,,,,,,,8 km/5 mi to Chongqing Jiangbei International Airport (CKG),,,,,,,,,,,
,,,,ZenLayer,,,FUO1,7 Guichengjiedaonanliu St.,,,,Foshan,528253,,China,,,,,,,,,,China Telecom/GS,,China Telecom,,,,,,,,,,,,,,,,,,
,,,,ZenLayer,,,CAN1,1 Tianyun Rd.,,,,Guangzhou,510663,,China,,,,,,,,,Tianhe District,,,China Telecom,,,,,,,43 km/27 mi to Guangzhou Baiyun International Airport (CAN),,,,,,,,,,,
,,,,ZenLayer,,,HKG1,17/F Global Gateway,168 Yeung Uk Rd,,,Hong Kong,,,China,,,,,,,,,Tsuen Wan N.T.,Equinix,HK1,PCCW,Tata,EIE,,,,,25 km/15 mi to Hong Kong International Airport (HKG),"99.999+% Power availability
99.99+% Temperature & Humidity availability
 99.99+% Cross Connect availability",Electrical Capacity – 1.75 -3.52 kVA per cabinet,UPS Configuration – N+1 redundant topology,Cooling –N+1 redundancy,  Cooling Capacity – 1.75 -3.52 kVA per cabinet,   ISO/IEC 27001: 2013,SSAE16 SOC-1 Type II,,,,
,,,,ZenLayer,,,HKG3,6/F 1 Wang Wo Tsai St.,,,,Hong Kong,,,China,,,,,,,,,Tsuen Wan N.T.,Equinix,HK3,PCCW,Tata,EIE,,,,,25 km/15 mi to Hong Kong International Airport (HKG),"99.999+% Power availability
99.99+% Temperature & Humidity availability
 99.99+% Cross Connect availability",Electrical Capacity – 2-3 kVA per cabinet,"UPS Configuration – N+1 / N+N / 2N, depending on cabinet location",Cooling Capacity – 2-3 kVA per cabinet,,   ISO/IEC 27001: 2013,SSAE16 SOC-1 Type II, LEED Gold Certificate (Phase II),,,
,,,,ZenLayer,,,TNA1,Danshantun IDC Building,,,,Jinan,,,China,,,,,,,,,,China Unicom ,,China Unicom,,,,,,, 16 km/10 mi to Jinan Yaoqiang International Airport (TNA),,,,,,,,,,,
,,,,ZenLayer,,,NKG1,77 N. Daqiao Rd,,,,Nanjing,211399,,China,,,,,,,,,,China Telecom,,China Telecom,,,,,,,55 km/34 mi to Nanjing Lukou International Airport (NKG),,,,,,,,,,,
,,,,ZenLayer,,,NKG2,Lishui Mobile Building,Suiyuan Rd.,,,Nanjing,211299,,China,,,,,,,,,,China Mobile,,China Mobile,,,,,,,,,,,,,,,,,,
,,,,ZenLayer,,,SHA2,588 Jiyun Rd.,Building 1,,,Shanghai,200443,,Shanghai,,,,,,,,,,21Vianet,,China Telecom,,,,,,,,,,,,,,,,,,
,,,,ZenLayer,,,SHA3,523 Hulan Rd.,#1-1,,,Shanghai,200431,,Shanghai,,,,,,,,,,51IDC,,51IDC,,,,,,," 50 km/31 mi to Shanghai Pudong International Airport (PVG)
28 km/17 mi to Shanghai Hongqiao Airport (SHA)",,,,,,,,,,,
,,,,ZenLayer,,,SHA5,Building No. 9,619 Longchang Rd.,,,Shanghai,200090,,Shanghai,,,,,,,,,Yangpu District,Equinix,,CT/CU,,,,,,,"40 km/25 mi to Shanghai Pudong International Airport (PVG)
30 km/19 mi to Shanghai Hongqiao Airport (SHA)",,,,,,,,,,,
,,,,ZenLayer,,,SHE1,No.167-2 Kunshanxi Rd.,,,,Shenyang,110088,,China,,,,,,,,,,China Unicom,,China Unicom,,,,,,,  38 km/24 mi to Shenyang Taoxian International Airport (SHE),,,,,,,,,,,
,,,,ZenLayer,,,SHE2,84 Huanghebeida St,,,,Shenyang,110087,,China,,,,,,,,,Huanggu District,China Unicom,,China Unicom,,,,,,,46 km/29 mi to Shenyang Taoxian International Airport (SHE),,,,,,,,,,,
,,,,ZenLayer,,,SJW1,89 Kunlun St,,,,Shijiazhuang,50000,,China,,,,,,,,,Gaoxin District,China Unicom,,China Unicom,,,,,,,35 km/22 mi to Shijiazhuang Zhengding International Airport (SJW),,,,,,,,,,,
,,,,ZenLayer,,,TSN1,6 Ziyuan Rd.,,,,Tianjin,300384,,China,,,,,,,,,Nankai District,China Telecom,,China Telecom,,,,,,,35 kim/22 mi to Tianjin Binhai International Airport (TSN),,,,,,,,,,,
,,,,ZenLayer,,,WNZ1,336 Qingyuan Rd.,,,,Wenzhou,325699,,China,,,,,,,,,Leqing District,China Telecom/GS,,China Telecom,,,,,,,  45 km/28 mi to Wenzhou Longwan International Airport (WNZ),,,,,,,,,,,
,,,,ZenLayer,,,WUH1,217 Jiefangdadao Rd.,,,,Wuhan,430034,,China,,,,,,,,,,China Telecom,,China Telecom,,,,,,,,,,,,,,,,,,
,,,,ZenLayer,,,WUX1,61 Dingshan Rd.,,,,Wuxi,214434,,China,,,,,,,,,Jiangyin District,China Telecom/GS,,China Telecom,,,,,,,57 km/ 35 mi to Sunan Shuofang International Airport (WUX),,,,,,,,,,,
,,,,ZenLayer,,,XIY2,55 Shijida Rd.,"Suite A10, Block C",,,Xi'an,712046,,China,,,,,,,,,Qindu District,China Telecom/GS,,China Telecom,,,,,,,,,,,,,,,,,,
,,,,ZenLayer,,,ZUH1,2005 Jiuzhoudadaozhong,4th Floor,,,Zhuhai,519015,,China,,,,,,,,,,China Unicom/ GS,,China Unicom,,,,,,,,,,,,,,,,,,
