peering DB id,PP Count,IX Count,Inflect IDs,Data Center Owner,Marketing Name,name,DC Code,address1,address2,campus,notes,city,zipcode,state,country,npanxx,peeringDB owner_id,clli,Future Planned DC,rencode,Retired DC,Not Found,Data Source URL,Internet Exchange,123.NET,Alpheus,AT&T,CenturyLink,Charter,CoastCom,Cogent,Comcast,Cox,DQE,Electric Lightwave (Integra),EnTouch,euNetworks,FiberLight,Fibertech,FORETHOUGHT.net,FPL (Fibernet Direct),GTT,Interoute,Layer 42 (Wave),Level 3,Level 3 (Former Global Crossing),Lightower,Lumos,Megaport,MUFN,Neutral Path Communications LH,Paxio,Phonoscope,Silicon Valley Fiber,Southern Light,Summit IG,Telia,TelNet,Time Warner Cable,US Signal,Verizon Fiber,Wave,Windstream,WOW! Business,Xmission Utopia,XO,Zayo,Nearby,Nearby,Nearby,Nearby,Nearby,Nearby,Nearby
,,,,EdgeConnex,,,EDCPOR01,23245 NW Evergreen Parkway,Building C-300,,,Hillsboro,97124,OR,US,,,,,,,,,NWAX,,,,,Diverse Entrances,"Diverse Entrances, Dark",,"Diverse Entrances, Lit, Business DIA, IP Local Peering",,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,"Diverse Entrances, Lit, Business DIA",,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA","Diverse Entrances, Dark, Lit, IP Transit, Business DIA",CenturyLink,,,,,,
,,,,EdgeConnex,,,EDCPOR11,23215 NW Evergreen Pkwy,Bldg A,,,Hillsboro,97124,OR,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EdgeConnex,,,EDCRIC01,1450 E Parham Rd,Suite 1450,,,Richmond,23228,VA,US,,,,,,,,,RVA-IX-S.Brown waiting on more content ~12/31/17  ,,,,,,,,"Diverse Entrances, Lit, Business DIA, IP Local Peering",,,,,,,,,,,,,,,,,,,,,,,,"Diverse Entrances, Dark",,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",Level 3,Lumos,Windstream,,,,
,,,,EdgeConnex,,,EDCSAC01,10980 Gold Center Dr,,,,Rancho Cordova,95670,CA,US,,,,,,,,,,,,,,,,,"Diverse Entrances, Lit, Business DIA",,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AT&amp;T,CenturyLink,Level 3,Point to Point,Sprint,XO,Zayo
,,,,EdgeConnex,,,EDCSCC01,1690 Richard Ave,,,,Santa Clara,95050,CA,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EdgeConnex,,,EDCSDG01,5761 Copley Dr,Suite 150 (B),,,San Diego,92111,CA,US,,,,,,,,,,,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA, IP Global Peering, IP Local Peering",,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA","Diverse Entrances, Dark, Lit, IP Transit, Business DIA",CenturyLink,Crown Castle,M Power,Telepacific,Verizon Fiber,,
,,,,EdgeConnex,,,EDCSEA01,3425 S 116th St,"Building 6, Suite 133",,,Seattle ,98168,WA,US,,,,,,,,,SIX-Waiting on board to review app. ~9/30/17,,,,,,,,"Diverse Entrances, Lit, IP Transit, IP Local Peering",,,"Lit, IP Local Peering",,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA, IP Global Peering, IP Local Peering",,,,,,Noel Communications,Spectrum Business,Windstream,XO,Zayo,,
,,,,EdgeConnex,,,EDCSLC01,2302 South Presidents Drive,Suite A/B,,,West Valley City,84120,UT,US,,,,,,,,,SLIX,,,,,,,,"Diverse Entrances, Lit, Business DIA, IP Local Peering",,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA, IP Local Peering",CenturyLink,Level 3,Western Fiber Net,Windstream,XO,,
,,,,EdgeConnex,,,EDCSLI01,2070 Gause Blvd E,,,,Slidell,70461,LA,US,,,,,,,,,,,,,,Diverse Entrances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EdgeConnex,,,EDCSVC01,1700 Richard Ave,,,,Santa Clara,95051,CA,US,,,,,,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,,"Diverse Entrances, Dark",,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,
,,,,EdgeConnex,,,EDCSVC02,1700 Richard Ave,,,,Santa Clara,95051,CA,US,,,,,,,,,,,,"Lit, Business DIA","Lit, Business DIA",,,"Diverse Entrances, IP Transit, Business DIA",,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA","Diverse Entrances, Lit, IP Transit, Business DIA",,,,,,,Business DIA,,Dark,,,,,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA","Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,
,,,,EdgeConnex,,,EDCTAL01,1531 Commonwealth Business Dr,Units 404-408,,,Tallahassee,32303,FL,US,,,,,,,,,,,,,Business DIA,,,,"Diverse Entrances, Business DIA, IP Local Peering",,,,,,,,,,,,,,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA, IP Global Peering, IP Local Peering",,,,,,,,,,,Business DIA,,Level 3,Windstream,,,,,
