Internal PoP List,,,,,,,
Region,Country,Metro,Address,Colo,Optical Transport,IP and EtherCloud,Video
North America,United States,Los Angeles,"3800 Via Oro Ave, Long Beach, CA 90810, USA",DirecTV California Broadcast Center,,,x
North America,United States,Los Angeles,"4000 Warner Blvd, Burbank, CA 91522, USA",Warner Brothers Studio,,,x
North America,United States,Los Angeles,"555 Anton Blvd., Los Angeles, CA 96161, USA",,,,x
North America,United States,Los Angeles,"100 Universal Plaza, Los Angeles, CA 91608, USA",NBC Universal,,x,
North America,United States,Los Angeles,"1920 E Maple Street, Los Angeles, CA 90245, USA",Equinix LA3,,x,
North America,United States,Los Angeles,"800 S Hope St, Los Angeles, CA 90017, USA",US Colo,,x,
North America,United States,Los Angeles,"900 N Alameda St, Los Angeles, CA 90012, USA",CoreSite LA2,,x,
North America,United States,McAllen,"200 South 10th St., McAllen, TX 78501, USA",McAllen Data Center,,x,
North America,United States,Miami,"50 NE 9th St, Miami, FL 33132, USA",Terremark / Verizon,,x,x
North America,United States,Miami,"2115 NW 22nd St, Miami, FL 33142, USA",CoreSite MI1,,x,
North America,United States,Miami,"36 NE 2nd Street, Miami, FL 33132, USA",TelX/ColoHouse/Interconnect Miami,,x,
North America,United States,Minneapolis,"511 11th Ave S, Minneapolis, MN 55415, USA",511 Building,,x,
North America,United States,New York,"111 8th Ave, New York, NY 10011, USA",TelX/Equinix/Level3/XO/Zayo/Telia,x,x,x
North America,United States,New York,"32 Ave of the Americas, New York, NY 10013, USA",TelX NY3,x,x,x
North America,United States,New York,"60 Hudson St, New York, NY 10013, USA",TelX/Zayo/Telia/Sirius,x,x,x
North America,United States,New York,"1351 Washington Blvd, Stamford, CT 06902, USA",Lightower (Fka Fibertech),x, ,x
North America,United States,New York,"250 Harbor Dr, Stamford, CT 06902, USA",A&E Television Network,,,x
North America,United States,New York,"545 5th Ave #1200, New York, NY 10017, USA",,,,x
North America,United States,New York,"620 Hicksville Rd, Bethpage, NY 11714, USA",AMC Networks Broadcasting,,,x
North America,United States,New York,"165 Halsey St, Newark, NJ 07102, USA",Equinix NY1 / Zayo ,x,x,
North America,United States,New York,"100 William St, New York, NY 10038, USA",New York Internet,,x,
North America,United States,New York,"111 Town Square Place, Jersey City, NJ 07310, USA",Hidalgo Communications,,x,
North America,United States,New York,"2 Emerson Lane, Secaucus, NJ 07094, USA",CoreSite NY2,,x,
North America,United States,New York,"275 Hartz Way, Secaucus, NJ 07094, USA",Equinix NY2,,x,
North America,United States,New York,"601 West 26th St, New York, NY, USA 10001",Broadview Networks,,x,
North America,United States,New York,"85 10th Ave, New York, NY 10011, USA",Telehouse,,x,
North America,United States,New York,"1400 Federal Blvd, Carteret, NJ 07008, USA",NASDAQ / Verizon Business,x, ,
North America,United States,New York,"300 J F Kennedy Blvd E, Weehawken, NJ 07086, USA",CenturyLink / Digital Realty,x, ,
North America,United States,New York,"360 Hamilton Ave, White Plains, NY 10601, USA",Lightower (fka Neon),x, ,
North America,United States,New York,"5851 West Side Ave, North Bergen, NJ 07047, USA",Equinix NY7,x, ,
North America,United States,New York,"755 Secaucus Rd, Secaucus, NJ 07094, USA",Equinix NY4 (Express),x, ,
North America,United States,New York,"1350 Washington Blvd, Stamford, CT 06902, USA",Lightower (Fka Fibertech),x,,
North America,United States,Orlando,"380 S Lake Destiny Rd, Orlando, FL 32801, USA",Level3,,x,
North America,United States,Philadelphia,"401 N Broad St, Philadelphia, PA 19108, USA",Lightower,x,x,x
North America,United States,Philadelphia,"2401 Locust St, Philadelphia, PA 19103, USA",Zayo (zColo),x,,
North America,United States,Phoenix,"120 Van Buren St, Phoenix, AZ 85004, USA",TelX,,x,x
North America,United States,Phoenix,"801 N Dish Dr, Gilbert, AZ 85233, USA",Echo Star Communications,,,x
North America,United States,Phoenix,"211 W Monroe St, Phoenix, AZ 85003, USA",CenturyLink,,x,
North America,United States,Phoenix,"2335 S. Ellis Street, Phoenix, AZ 85286, USA",CyrusOne,,x,
North America,United States,Phoenix,"3402 E University Dr, Phoenix, AZ 85034, USA",Phoenix NAP,,x,
North America,United States,Phoenix,"615 North 48th St, Phoenix, AZ 85008, USA",IO Data Center,,x,
North America,United States,Phoenix,"8521 E Princess Dr, Phoenix, AZ 85255, USA",IO Data Center,,x,
North America,United States,Pittsburgh,"201 Browntown Rd, New Kensington, PA 15068, USA",Pittsburgh Teleport,,,x
North America,United States,Salt Lake City,"179 Social Hall Ave, Salt Lake City, UT 84111, USA",C7 Data Centers,,x,
North America,United States,San Diego,"4216 University Ave, San Diego, CA 92105, USA",,,,x
North America,United States,San Diego,"5761 Copley Dr, San Diego, CA 92111, USA",EdgeConnex,,x,
North America,United States,San Francisco,"200 Paul Ave, San Francisco, CA 94124, USA",TelX,,x,x
North America,United States,San Francisco,"365 Main St, San Francisco, CA 94105, USA",Digital Realty,,x,
North America,United States,San Jose,"11 Great Oaks Blvd, San Jose, CA 95119, USA",Equinix SV1,x,x,
North America,United States,San Jose,"1380 Kifer Road, San Jose, CA 94086, USA",Level3,,x,
North America,United States,San Jose,"1735 Lundy Ave, San Jose, CA 95131, USA",Equinix SV3,,x,
North America,United States,San Jose,"2972 Stender Way, San Jose, CA 95054, USA",CoreSite,,x,
North America,United States,San Jose,"529 Bryant St, San Jose, CA 94301, USA",Equinix SV8,,x,
North America,United States,San Jose,"55 S Market St, San Jose, CA 95113, USA",CoreSite SV1,,x,
North America,United States,Seattle,"2001 6th Ave, Seattle, WA 98121, USA",Equinix SE2,x,x,x
North America,United States,Seattle,"4949 Randolph Road NE, Seattle, WA 98837, USA",Digital Fortress,,x,
North America,United States,Southfield,"1000 Town Center, Southfield, MI 48075, USA",EdgeConnex,,,x
North America,United States,Tampa,"5908 Hampton Oaks Pkwy, Tampa, FL 33610, USA",CenturyLink,,,x
North America,United States,Tampa,"655 N Franklin, Tampa, FL 33602, USA",365 Main Data Center,,x,
North America,United States,"Washington, D.C.","1275 K Street NW, Washington, DC,  20005, USA",CoreSite DC1,x,x,x
North America,United States,"Washington, D.C.","2000 M St NW, Washington, DC 20036, USA",DCI Teleport,,,x
North America,United States,"Washington, D.C.","1010 Wayne Ave., Silver Spring, MD 20910, USA",Atlantech Online,,x,
North America,United States,"Washington, D.C.","1755 Old Meadow Dr, McLean, VA  22102, USA",Global Capacity,,x,
,,,,,,,
"Note: All PoPs labeled with ICB* are legacy Hibernia IP and Ethernet. As these sites are not yet interconnected to the GTT network, special review is required. Please contact Product Management",,,,,,,
with questions.,,,,,,,
