Internal PoP List,,,,,,,
Region,Country,Metro,Address,Colo,Optical Transport,IP and EtherCloud,Video
EMEA,France,Paris,"137 Boulevard Voltaire, Paris, 75011, France",Telehouse 2 (Paris Voltaire),x,x,x
EMEA,France,Paris,"124 Boulevard De Verdun, Courbevoie, 92400, France",SFR Group,,x,x
EMEA,France,Paris,"22 Avenue des Nations, 93420 Villepinte, France",TeliaSonera Paris DataCenter #2,,,x
EMEA,France,Paris,"114 Rue Ambroise Croizat, Paris, 93200, France",Equinix PA3,,x,
EMEA,France,Paris,"20, Rue Des Gardinoux, Aubervilliers, 93534, France",InterXion PAR2,,x,
EMEA,France,Paris,"38 Rue des Jeuneurs, Paris, 75002, France",Telehouse 1 (Paris Jeuneurs),,x,
EMEA,France,Paris,"45 Avenue Victor Hugo, 93300 Aubervilliers, France",InterXion PAR1 ,,x,
EMEA,France,Paris,"61 Rue Julian Grimau, Vitry-sur-Seine, Paris, 75008, France",Iliad Datacentre,,x,
EMEA,France,Paris,"9 Energy Park 130-136 Blvd de Verdun, Courbevoi cedex, Paris, 92413, France",TelecityGroup Paris (Courbevoie Cedex),,x,
EMEA,France,Paris,"E.M.G.P., Bat. 2545 Avenue Victor Hugo, Aubervilliers,  93534, France",TelecityGroup Paris (Aubervilliers),,x,
EMEA,France,Strasbourg,"5 Rue du Havre, 67100 Strasbourg, France",euNetworks,x,,
EMEA,Germany,Berlin,"Alboinstrasse 36, 12103 Berlin, Germany",Speedbone,,ICB*,
EMEA,Germany,Dusseldorf ,"In der Steele 29, 40599 DÌ_sseldorf, Germany",InterXion DUS1,x,,
EMEA,Germany,Dusseldorf ,"In der Steele 35, 40599 DÌ_sseldorf, Germany",euNetworks,x,,
EMEA,Germany,Frankfurt,"Kleyerstrasse 90, 60326 Frankfurt, Germany",Equinix FR5,x,ICB*,x
EMEA,Germany,Frankfurt,"Kleyerstrasse 26, 60326 Frankfurt, Germany",,,,x
EMEA,Germany,Frankfurt,"RebstÌ¦cker Str. 55, 60326 Frankfurt, Germany",TSIC PoP 1,,,x
EMEA,Germany,Frankfurt,"Hanauer Landstrasse 302, 60314 Frankfurt, Germany",InterXion FRA1,x,x,
EMEA,Germany,Frankfurt,"25-31,Rebstockerstrasse, Frankfurt, 60314, Germany",Itenos,,x,
EMEA,Germany,Frankfurt,"Gutleutstrasse 310, 60327 Frankfurt, Germany",TelecityGroup Frankfurt (Gutleutstrasse),,x,
EMEA,Germany,Frankfurt,"Kleyerstrasse 88, Frankfurt, 60326, Germany",Ancotel,,x,
EMEA,Germany,Frankfurt,"Friesstrasse 26, 60388 Frankfurt, Germany",Equinix FR2,x, ,
EMEA,Germany,Frankfurt ,"Lyonerstrasse 28, Frankfurt,  D 60528, Germany",Telecity,,x,
EMEA,Germany,Frankfurt ,"Taubenstrasse 7-9, Frankfurt , 60313, Germany",Equinix FR1,,x,
EMEA,Germany,Frankfurt ,"LÌ_rchenstrasse 110, 65933 Frankfurt, Germany",Equinix FR4,x, ,
EMEA,Germany,Hamburg,"Wendenstrasse 408, 20537 Hamburg, Germany",IPHH,,ICB*,
EMEA,Germany,Hamburg,"Langenhorner Chaussee 44, Hamburg,  22335, Germany",E-Shelter Colocation,,x,
